id,proper,ra,dec,mag,con,dist,spect
44769,,9.147526,33.882217,5.95,Lyn,19.1902,F9V
44773,,9.147863,51.604648,4.46,UMa,28.8184,Am
44795,,9.15117,-18.328548,5.73,Hya,83.682,A0/A1V
44808,,9.153198,-12.357706,5.76,Hya,138.8889,G6III
44819,Nahn,9.155982,22.045446,5.16,Cnc,114.4165,K0III
44833,,9.15988,-8.787648,5.47,Hya,147.7105,G8II
44872,,9.16567,-30.365401,5.59,Pyx,64.9773,A4IV
44910,,9.173204,67.134018,4.8,UMa,20.3791,F7IV-V
44947,,9.181941,63.513633,4.67,UMa,38.7297,Am
44952,,9.182804,-58.966896,3.43,Car,136.9863,B2IV
44957,,9.184556,-44.867902,4.99,Vel,100000.0,B5Ia
44972,,9.187985,-62.316977,3.96,Car,166.3894,B3IV
44992,,9.192607,-46.583911,5.78,Vel,304.878,B2IV-V
45028,,9.19965,-19.747628,5.72,Hya,93.1966,G8III
45058,,9.20848,-43.613262,5.56,Vel,212.3142,B8V
45087,,9.215452,-59.413928,5.54,Car,145.1379,G6II
45106,Miaplacidus,9.220041,-69.717208,1.67,Car,34.6981,A2IV
45138,,9.226239,-47.338407,5.92,Vel,156.25,B9V
45158,,9.230059,43.217825,5.3,Lyn,178.2531,B8IIIMNp
45182,,9.235615,-44.145822,5.85,Vel,161.2903,B6IV
45196,,9.238335,-55.569629,5.26,Vel,196.0784,G8II/III
45201,,9.239041,61.423318,5.18,UMa,19.5695,F9V
45204,,9.239405,2.31428,3.89,Hya,34.7947,B9.5V
45212,,9.240136,-43.227493,5.24,Vel,187.6173,B4V+...
45255,,9.249213,-37.602396,5.85,Vel,196.8504,K0/K1III+..
45279,,9.253848,14.941507,5.36,Cnc,186.2197,K1III
45281,,9.253963,34.633516,5.98,Lyn,130.039,G6III
45308,,9.2602,-38.569942,4.92,Vel,68.8705,K1III
45317,,9.262522,-37.413144,4.63,Vel,50.4796,F3/F5V
45324,,9.263832,56.741406,5.28,UMa,220.7506,K5III
45330,,9.264639,72.946326,5.93,UMa,88.1057,F0III
45363,,9.269808,54.021857,4.8,UMa,35.8423,A5V
45365,,9.270024,-57.541473,4.34,Car,149.7006,M1III
45374,,9.273066,-44.265735,5.12,Vel,100000.0,K3Ib
45395,,9.278158,-8.744759,5.49,Hya,207.4689,B9III
45396,,9.27826,-6.353144,5.24,Hya,75.2445,K2III
45413,,9.282523,-39.401539,5.31,Vel,105.8201,K2III
45425,Aspidiske,9.284838,-59.275229,2.21,Car,234.7418,A8Ib
45428,,9.285478,-14.574069,5.83,Hya,110.6195,K0III
45440,,9.288149,-68.689642,5.38,Car,32.6371,F4V
45450,,9.290334,-74.894313,5.28,Car,107.5269,A1V
45454,,9.291005,-74.734591,5.86,Car,81.9672,A0V
45460,,9.291993,46.817228,5.96,UMa,130.3781,A1V
45500,,9.301633,-51.050859,5.26,Vel,134.2282,B7/B8III
45529,,9.307199,35.36408,5.94,Lyn,86.9565,A8V
45544,,9.311766,-51.560651,5.83,Vel,100000.0,B7Iab
45557,,9.314069,36.802597,3.82,Lyn,38.2702,A1V
